panel,element,description,notes
Global,figure type,Schematic conceptual benchmark-construction workflow figure.,Non-numeric source notes only; the locked PNG is the visual ground truth.
A,input sources,"Input-source blocks feed benchmark asset construction from HERB-derived herb-target associations, HERB-derived herb-compound context, ChEMBL-derived compound-target context, and target-target context.",Source provenance is represented schematically rather than as a numeric table.
A,identifier harmonization and quality control,"Sequential quality-control blocks show herb identity normalization, target harmonization with UMLS, duplication and ambiguity screening, and benchmark eligibility filters.",These are process steps in the construction workflow.
A,frozen benchmark assets,"The asset summary block lists frozen categories for herbs, targets, corrected herb-target positives, formal eligible positives after quarantine, herb-compound edges, high-strict compound-target edges, and target-target unordered pairs.",Numeric values remain embedded in the locked figure image and are not re-tabulated here.
A,quarantine notice,The dashed quarantine block notes that H0847 was quarantined and its positive pairs were excluded from all splits under protocol v1.0.,Represents a data-governance exclusion boundary.
B,split-blocking groups,The top schematic depicts singleton and multi-member split-blocking groups used to define leakage-control units.,The ellipsis indicates continuation through additional groups.
B,group-aware split,"Train, validation, and test blocks are shown as group-aware partitions where no split-blocking group crosses partitions.",This defines the split-blocking logic for benchmark construction.
B,cross-partition exclusion example,The dashed Group X example and red cross indicate that the same split-blocking group cannot appear in both validation and test partitions.,Illustrates the prohibited leakage pattern.
B,held-out herb evaluation boundary,Held-out herbs are excluded from the training graph and evaluated only within their assigned validation or sealed-test boundary.,Clarifies the cold-start evaluation separation.
B,split-blocking statistics support block,The statistics block summarizes split-blocking group composition and identifies context-only herbs excluded from splits.,Included as explanatory support; numeric entries are not reproduced as source data.
B,leakage-control principles,"The principles block states that held-out herbs are excluded from the training graph, split-blocking groups do not cross partitions, and split blocking controls the exact normalized-name identity route rather than medicinal-material equivalence.",Defines the scope and limitation of leakage control.
C,frozen evaluation workflow,"The vertical workflow proceeds from protocol freeze to validation-only tuning, final five-seed training, registered validation-only analyses, validation-only robustness checks, sealed-test access precheck, and one-time sealed test.",Sealed test is reserved for final evaluation only.
C,audit guardrails,"The guardrail column states that test labels remain unseen before final test and that no post-test tuning, no post-test model selection, and no post-test design change are allowed.",Defines the evaluation governance boundary.
C,one-time sealed-test summary,"The dashed sealed-test summary block identifies the final reporting boundary for test herbs, recorded positive pairs, and candidate targets.",Numeric entries remain in the locked image and are not re-tabulated here.
