node_id,node_type
C0476,compound
C0477,compound
C0478,compound
C0479,compound
C0480,compound
C0481,compound
C0482,compound
C0483,compound
C0484,compound
C0485,compound
C0486,compound
C0487,compound
C0488,compound
C0489,compound
C0490,compound
C0491,compound
C0492,compound
C0493,compound
C0494,compound
C0495,compound
C0496,compound
C0497,compound
C0498,compound
C0499,compound
C0500,compound
C0501,compound
C0502,compound
C0503,compound
C0504,compound
C0505,compound
C0506,compound
C0507,compound
C0508,compound
C0509,compound
C0510,compound
C0511,compound
C0512,compound
C0513,compound
C0514,compound
C0515,compound
C0516,compound
C0517,compound
C0518,compound
C0519,compound
C0520,compound
C0521,compound
C0522,compound
C0523,compound
C0524,compound
C0525,compound
C0526,compound
C0527,compound
C0528,compound
C0529,compound
C0530,compound
C0531,compound
C0532,compound
C0533,compound
C0534,compound
C0535,compound
C0536,compound
C0537,compound
C0538,compound
C0539,compound
C0540,compound
C0541,compound
C0542,compound
C0544,compound
C0545,compound
C0546,compound
C0547,compound
C0548,compound
C0549,compound
C0550,compound
C0551,compound
C0552,compound
C0553,compound
C0554,compound
C0555,compound
C0556,compound
C0557,compound
C0558,compound
C0559,compound
C0560,compound
C0561,compound
C0562,compound
C0563,compound
C0564,compound
C0565,compound
C0566,compound
C0567,compound
C0568,compound
C0569,compound
C0570,compound
C0571,compound
C0572,compound
C0573,compound
C0574,compound
C0575,compound
C0577,compound
C0578,compound
C0579,compound
C0581,compound
C0582,compound
C0583,compound
C0584,compound
C0585,compound
C0586,compound
C0587,compound
C0588,compound
C0589,compound
C0590,compound
C0591,compound
C0593,compound
C0594,compound
C0595,compound
C0596,compound
C0597,compound
C0598,compound
C0599,compound
C0600,compound
C0601,compound
C0602,compound
C0603,compound
C0604,compound
C0605,compound
C0606,compound
C0607,compound
C0608,compound
C0609,compound
C0610,compound
C0611,compound
C0612,compound
C0613,compound
C0614,compound
C0615,compound
C0616,compound
C0617,compound
C0618,compound
C0619,compound
C0620,compound
C0621,compound
C0622,compound
C0623,compound
C0624,compound
C0625,compound
C0626,compound
C0627,compound
C0628,compound
C0629,compound
C0630,compound
C0631,compound
C0632,compound
C0633,compound
C0634,compound
C0635,compound
C0636,compound
C0637,compound
C0638,compound
C0639,compound
C0640,compound
C0641,compound
C0642,compound
C0643,compound
C0644,compound
C0645,compound
C0646,compound
C0647,compound
C0648,compound
C0649,compound
C0650,compound
C0651,compound
C0652,compound
C0653,compound
C0654,compound
C0655,compound
C0656,compound
C0657,compound
C0658,compound
C0659,compound
C0660,compound
C0661,compound
C0662,compound
C0663,compound
C0664,compound
C0665,compound
C0666,compound
C0667,compound
C0668,compound
C0669,compound
C0670,compound
C0671,compound
C0672,compound
C0673,compound
C0674,compound
C0675,compound
C0676,compound
C0677,compound
C0678,compound
C0679,compound
C0680,compound
C0681,compound
C0682,compound
C0683,compound
C0684,compound
C0685,compound
C0686,compound
C0687,compound
C0688,compound
C0689,compound
C0690,compound
C0691,compound
C0692,compound
C0693,compound
C0694,compound
C0695,compound
C0696,compound
C0697,compound
C0698,compound
C0699,compound
C0700,compound
C0701,compound
C0702,compound
C0703,compound
C0704,compound
C0705,compound
C0706,compound
C0707,compound
C0708,compound
C0709,compound
C0710,compound
C0711,compound
C0712,compound
C0713,compound
C0714,compound
C0715,compound
C0716,compound
C0717,compound
C0718,compound
C0719,compound
C0720,compound
C0721,compound
C0722,compound
C0723,compound
C0724,compound
C0725,compound
C0726,compound
C0727,compound
C0728,compound
C0729,compound
C0730,compound
C0731,compound
C0732,compound
C0733,compound
C0734,compound
C0735,compound
C0736,compound
C0737,compound
C0738,compound
C0739,compound
C0740,compound
C0741,compound
C0742,compound
C0743,compound
C0744,compound
C0745,compound
C0746,compound
C0747,compound
C0748,compound
C0749,compound
C0750,compound
C0751,compound
C0752,compound
C0753,compound
C0754,compound
C0755,compound
C0756,compound
C0757,compound
C0758,compound
C0759,compound
C0760,compound
C0761,compound
C0762,compound
C0763,compound
C0764,compound
C0765,compound
C0766,compound
C0768,compound
C0769,compound
C0771,compound
C0772,compound
C0773,compound
C0774,compound
C0775,compound
C0776,compound
C0777,compound
C0778,compound
C0779,compound
C0780,compound
C0781,compound
C0782,compound
C0783,compound
C0784,compound
C0785,compound
C0786,compound
C0787,compound
C0788,compound
C0789,compound
C0790,compound
C0791,compound
C0792,compound
C0793,compound
C0794,compound
C0795,compound
C0796,compound
C0797,compound
C0798,compound
C0799,compound
C0800,compound
C0801,compound
C0802,compound
C0803,compound
C0804,compound
C0805,compound
C0806,compound
C0807,compound
C0808,compound
C0809,compound
C0810,compound
C0811,compound
C0812,compound
C0813,compound
C0814,compound
C0815,compound
C0816,compound
C0817,compound
C0818,compound
C0819,compound
C0821,compound
C0822,compound
C0823,compound
C0824,compound
C0825,compound
C0826,compound
C0827,compound
C0828,compound
C0829,compound
C0830,compound
C0831,compound
C0832,compound
C0833,compound
C0834,compound
C0835,compound
C0836,compound
C0837,compound
C0838,compound
C0839,compound
C0840,compound
C0841,compound
C0842,compound
C0843,compound
C0844,compound
C0845,compound
C0846,compound
C0847,compound
C0848,compound
C0849,compound
C0850,compound
C0851,compound
C0852,compound
C0853,compound
C0854,compound
C0855,compound
C0856,compound
C0857,compound
C0858,compound
C0859,compound
C0860,compound
C0861,compound
C0862,compound
C0863,compound
C0864,compound
C0865,compound
C0866,compound
C0867,compound
C0868,compound
C0869,compound
C0870,compound
C0871,compound
C0872,compound
C0873,compound
C0874,compound
C0875,compound
C0876,compound
C0877,compound
C0878,compound
C0879,compound
C0880,compound
C0881,compound
C0882,compound
C0883,compound
C0884,compound
C0885,compound
C0886,compound
C0887,compound
C0888,compound
C0889,compound
C0890,compound
C0891,compound
C0892,compound
C0893,compound
C0894,compound
C0895,compound
C0896,compound
C0897,compound
C0898,compound
C0899,compound
C0900,compound
C0901,compound
C0902,compound
C0903,compound
C0904,compound
C0905,compound
C0906,compound
C0907,compound
C0908,compound
C0910,compound
C0911,compound
C0912,compound
C0913,compound
C0914,compound
C0915,compound
C0916,compound
C0917,compound
C0918,compound
C0919,compound
C0920,compound
C0921,compound
C0922,compound
C0923,compound
C0924,compound
C0925,compound
C0926,compound
C0927,compound
C0928,compound
C0929,compound
C0930,compound
C0931,compound
C0932,compound
C0933,compound
C0934,compound
C0935,compound
C0956,compound
C0987,compound
C1008,compound
C1019,compound
C1030,compound
C1051,compound
C1092,compound
C1103,compound
C1114,compound
C1125,compound
C1136,compound
C1162,compound
C1163,compound
C1164,compound
C1165,compound
C1166,compound
C1167,compound
C1168,compound
C1169,compound
C1170,compound
C1171,compound
C1172,compound
C1173,compound
C1174,compound
C1175,compound
C1176,compound
C1177,compound
C1178,compound
C1179,compound
C1180,compound
C1181,compound
C1182,compound
C1183,compound
C1184,compound
C1185,compound
C1186,compound
C1187,compound
C1188,compound
C1189,compound
C1190,compound
C1191,compound
C1192,compound
C1193,compound
C1194,compound
C1195,compound
C1196,compound
C1197,compound
C1198,compound
C1199,compound
C1200,compound
C1201,compound
C1202,compound
C1203,compound
C1204,compound
C1205,compound
C1206,compound
C1207,compound
C1208,compound
C1209,compound
C1210,compound
C1211,compound
C1212,compound
C1213,compound
C1214,compound
C1215,compound
C1216,compound
C1217,compound
C1218,compound
C1219,compound
C1220,compound
C1221,compound
C1222,compound
C1223,compound
C1224,compound
C1225,compound
C1226,compound
C1227,compound
C1228,compound
C1229,compound
C1230,compound
C1231,compound
C1232,compound
C1233,compound
C1234,compound
C1235,compound
C1236,compound
C1237,compound
C1238,compound
C1239,compound
C1240,compound
C1241,compound
C1242,compound
C1243,compound
C1244,compound
C1245,compound
C1246,compound
C1247,compound
C1248,compound
C1249,compound
C1250,compound
C1251,compound
C1252,compound
C1253,compound
C1254,compound
C1255,compound
C1256,compound
C1257,compound
C1258,compound
C1259,compound
C1260,compound
C1261,compound
C1262,compound
C1263,compound
C1264,compound
C1265,compound
C1266,compound
C1267,compound
C1268,compound
C1269,compound
C1270,compound
C1271,compound
C1272,compound
C1273,compound
C1274,compound
C1275,compound
C1276,compound
C1277,compound
C1278,compound
C1279,compound
C1280,compound
C1281,compound
C1282,compound
C1283,compound
C1284,compound
AAGAB,target
AATF,target
ABAT,target
ABCA1,target
ABCB1,target
ABCB11,target
ABCB4,target
ABCB6,target
ABCC1,target
ABCC2,target
ABCC3,target
ABCC4,target
ABCC5,target
ABCF3,target
ABCG1,target
ABCG2,target
ABCG5,target
ABCG8,target
ABHD12,target
ABHD15,target
ABHD6,target
ABL1,target
ABL2,target
ACACA,target
ACAD10,target
ACADM,target
ACAN,target
ACAT1,target
ACE,target
ACE2,target
ACHE,target
ACLY,target
ACOX1,target
ACP1,target
ACP5,target
ACTA2,target
ACVR1,target
ADA,target
ADAM10,target
ADAM17,target
ADAM9,target
ADAMTS4,target
ADAMTS5,target
ADCY8,target
ADCYAP1,target
ADH1C,target
ADH4,target
ADH5,target
ADIPOQ,target
ADIPOR1,target
ADIPOR2,target
ADK,target
ADM,target
ADORA1,target
ADORA2A,target
ADORA2B,target
ADORA3,target
ADRA1A,target
ADRA1B,target
ADRA1D,target
ADRA2A,target
ADRA2B,target
ADRA2C,target
ADRB1,target
ADRB2,target
ADRB3,target
AFP,target
AGER,target
AGL,target
AGRN,target
AGRP,target
AGT,target
AGTR1,target
AGTR2,target
AGTRAP,target
AHCY,target
AHCYL1,target
AHR,target
AHSG,target
AIFM1,target
AKAP12,target
AKR1A1,target
AKR1B1,target
AKR1B10,target
AKR1C1,target
AKR1C2,target
AKR1C3,target
AKR1C4,target
AKT1,target
AKT2,target
ALAS1,target
ALB,target
ALDH1A1,target
ALDH1A2,target
ALDH1A3,target
ALDH1B1,target
ALDH2,target
ALDH3A1,target
ALDH5A1,target
ALDH7A1,target
ALDOB,target
ALK,target
ALKBH1,target
ALKBH2,target
ALKBH3,target
ALKBH5,target
ALOX12,target
ALOX15,target
ALOX15B,target
ALOX5,target
ALOX5AP,target
ALPG,target
ALPI,target
ALPL,target
AMER1,target
AMH,target
AMY1A,target
AMY2A,target
ANGPT1,target
ANGPT2,target
ANGPTL4,target
ANO1,target
ANPEP,target
ANXA1,target
AOX1,target
APAF1,target
APC,target
APEX1,target
APLN,target
APOA1,target
APOA4,target
APOA5,target
APOB,target
APOBEC3A,target
APOBEC3B,target
APOBEC3G,target
APOD,target
APOE,target
APOF,target
APOM,target
APP,target
AQP1,target
AQP2,target
AQP3,target
AQP4,target
AQP5,target
AQP7,target
AQP8,target
AQP9,target
AR,target
ARC,target
ARF1,target
ARG1,target
ARG2,target
ARRB1,target
ASCL1,target
ASGR1,target
ASIC3,target
ASPH,target
ATAD2,target
ATF2,target
ATF3,target
ATF4,target
ATF6,target
ATG12,target
ATG4B,target
ATG5,target
ATG7,target
ATIC,target
ATM,target
ATP1A1,target
ATP2A1,target
ATP2A2,target
ATP2A3,target
ATP4A,target
ATP5F1B,target
ATP6AP2,target
ATP7A,target
ATR,target
AURKA,target
AURKB,target
AVP,target
AVPR1A,target
AVPR1B,target
AVPR2,target
AXIN1,target
AXIN2,target
AXL,target
AZIN2,target
B2M,target
BACE1,target
BACH1,target
BAD,target
BAK1,target
BAP1,target
BARD1,target
BAX,target
BBC3,target
BBOX1,target
BCHE,target
BCL11A,target
BCL2,target
BCL2A1,target
BCL2L1,target
BCL2L10,target
BCL2L11,target
BCL2L12,target
BCL2L2,target
BDKRB2,target
BDNF,target
BECN1,target
BGLAP,target
BHLHE40,target
BHMT,target
BID,target
BIK,target
BIRC2,target
BIRC3,target
BIRC5,target
BIRC7,target
BLK,target
BMAL1,target
BMF,target
BMI1,target
BMP2,target
BMP4,target
BMP5,target
BMPR2,target
BMX,target
BNIP3,target
BOK,target
BRAF,target
BRCA1,target
BRCA2,target
BRD4,target
BRF1,target
BRSK1,target
BSG,target
BTK,target
BTN3A1,target
BTRC,target
BUB1,target
C3,target
C5,target
C5AR1,target
CA1,target
CA12,target
CA13,target
CA14,target
CA2,target
CA3,target
CA4,target
CA5A,target
CA5B,target
CA6,target
CA7,target
CA9,target
CACNA1C,target
CACNA1D,target
CACNA1G,target
CACNA1H,target
CACNA1I,target
CACNA1S,target
CACNA2D1,target
CACUL1,target
CALB2,target
CALCA,target
CALCR,target
CALM1,target
CALR,target
CAMK2A,target
CAMK2B,target
CAMK2D,target
CAMK2G,target
CAMK4,target
CAMKK2,target
CAMP,target
CAPN1,target
CARM1,target
CARTPT,target
CASP1,target
CASP10,target
CASP12,target
CASP14,target
CASP2,target
CASP3,target
CASP6,target
CASP7,target
CASP8,target
CASP9,target
CASR,target
CAT,target
CATSPER1,target
CAV1,target
CAV3,target
CBR1,target
CBS,target
CCK,target
CCKAR,target
CCKBR,target
CCL11,target
CCL16,target
CCL2,target
CCL22,target
CCL24,target
CCL26,target
CCL3,target
CCL4,target
CCL5,target
CCN1,target
CCN2,target
CCN5,target
CCNA2,target
CCNB1,target
CCND1,target
CCND2,target
CCND3,target
CCNE1,target
CCNE2,target
CCNG1,target
CCR1,target
CCR2,target
CCR3,target
CCR4,target
CCR5,target
CCR6,target
CCR7,target
CD14,target
CD19,target
CD1A,target
CD1D,target
CD200,target
CD209,target
CD24,target
CD274,target
CD276,target
CD28,target
CD33,target
CD34,target
CD36,target
CD38,target
CD4,target
CD40,target
CD40LG,target
CD44,target
CD46,target
CD55,target
CD69,target
CD80,target
CD81,target
CD83,target
CD86,target
CD9,target
CDA,target
CDC20,target
CDC25A,target
CDC25B,target
CDC25C,target
CDC37,target
CDC42,target
CDC42BPA,target
CDC45,target
CDC7,target
CDH1,target
CDH11,target
CDH2,target
CDH5,target
CDH6,target
CDK1,target
CDK2,target
CDK4,target
CDK5,target
CDK6,target
CDK7,target
CDK8,target
CDK9,target
CDKN1A,target
CDKN1B,target
CDKN2A,target
CDKN2B,target
CDKN2C,target
CDR1,target
CDT1,target
CDX2,target
CEBPA,target
CEBPB,target
CEBPD,target
CEBPE,target
CELF1,target
CENPE,target
CERS6,target
CES1,target
CES2,target
CETP,target
CFL1,target
CFLAR,target
CFTR,target
CGAS,target
CHAT,target
CHEK2,target
CHGA,target
CHGB,target
CHRM1,target
CHRM2,target
CHRM3,target
CHRM4,target
CHRM5,target
CHRNA1,target
CHRNA3,target
CHRNA4,target
CHRNA5,target
CHRNA6,target
CHRNA7,target
CHRNA9,target
CHRNE,target
CHST10,target
CHUK,target
CIDEB,target
CIP2A,target
CISD1,target
CISD2,target
CIT,target
CKB,target
CLCN3,target
CLDN1,target
CLDN11,target
CLDN2,target
CLDN3,target
CLDN4,target
CLDN5,target
CLEC1B,target
CLEC2A,target
CLEC2B,target
CLEC7A,target
CLIC1,target
CLIP1,target
CLK1,target
CLK2,target
CLK3,target
CLK4,target
CLPB,target
CLU,target
CMA1,target
CMAHP,target
CNGA3,target
CNP,target
CNR1,target
CNR2,target
CNTF,target
COG2,target
COL10A1,target
COL18A1,target
COL1A1,target
COL1A2,target
COL2A1,target
COL3A1,target
COL4A4,target
COL7A1,target
COL9A1,target
COMT,target
COPS5,target
CORT,target
COX8A,target
CPD,target
CPM,target
CPT1A,target
CPT1B,target
CRBN,target
CRCP,target
CREB1,target
CREB3L3,target
CREBBP,target
CREM,target
CRH,target
CRHBP,target
CRHR1,target
CRHR2,target
CRISP2,target
CRISPLD2,target
CRK,target
CRMP1,target
CRP,target
CRTC1,target
CRTC2,target
CRYAB,target
CRYBA1,target
CRYZ,target
CS,target
CSF1,target
CSF2,target
CSF3R,target
CSN2,target
CSNK1D,target
CSNK1E,target
CSNK2A1,target
CSNK2A2,target
CSRP1,target
CSTB,target
CTBP2,target
CTDSP1,target
CTLA4,target
CTNNB1,target
CTRB1,target
CTRC,target
CTSB,target
CTSC,target
CTSD,target
CTSG,target
CTSK,target
CTSL,target
CTSS,target
CX3CL1,target
CX3CR1,target
CXADR,target
CXCL1,target
CXCL10,target
CXCL12,target
CXCL13,target
CXCL14,target
CXCL16,target
CXCL2,target
CXCL8,target
CXCR1,target
CXCR4,target
CXCR5,target
CYBA,target
CYBB,target
CYCS,target
CYP11A1,target
CYP11B2,target
CYP17A1,target
CYP19A1,target
CYP1A1,target
CYP1A2,target
CYP1B1,target
CYP21A2,target
CYP24A1,target
CYP26A1,target
CYP27A1,target
CYP27B1,target
CYP2A13,target
CYP2A6,target
CYP2B6,target
CYP2C19,target
CYP2C8,target
CYP2C9,target
CYP2D6,target
CYP2E1,target
CYP2J2,target
CYP3A4,target
CYP3A5,target
CYP3A7,target
CYP46A1,target
CYP4B1,target
CYP4F3,target
CYP51A1,target
CYP7A1,target
CYP8B1,target
CYSLTR1,target
CYSLTR2,target
DAG1,target
DAGLA,target
DAO,target
DAPK1,target
DAPK2,target
DAPK3,target
DAXX,target
DBH,target
DBI,target
DBP,target
DCK,target
DCLK3,target
DCT,target
DCTPP1,target
DDAH1,target
DDC,target
DDIT3,target
DDIT4,target
DDIT4L,target
DDX5,target
DECR1,target
DEPTOR,target
DFFA,target
DFFB,target
DGAT1,target
DHCR24,target
DHCR7,target
DHFR,target
DHODH,target
DIABLO,target
DIO1,target
DKK1,target
DLAT,target
DLC1,target
DLG4,target
DLK1,target
DMP1,target
DMPK,target
DNAH8,target
DNAJB4,target
DNAJC5,target
DNER,target
DNMT1,target
DNMT3A,target
DNMT3B,target
DNPEP,target
DNPH1,target
DNTT,target
DOT1L,target
DPP4,target
DPYD,target
DPYSL2,target
DRD1,target
DRD2,target
DRD3,target
DRD4,target
DRD5,target
DSPP,target
DUOX2,target
DUSP1,target
DUSP3,target
DYNC1LI1,target
DYRK1A,target
DYRK1B,target
DYRK2,target
DYRK3,target
DYRK4,target
DYSF,target
E2F1,target
E2F2,target
ECE1,target
ECI1,target
ECM1,target
EDN1,target
EDN2,target
EDN3,target
EDNRA,target
EDNRB,target
EED,target
EEF2,target
EFNB2,target
EGF,target
EGFR,target
EGLN1,target
EGLN3,target
EGR1,target
EGR2,target
EHHADH,target
EHMT1,target
EHMT2,target
EIF2AK2,target
EIF2AK3,target
EIF2S1,target
EIF4A1,target
EIF4B,target
EIF4E,target
EIF4EBP1,target
EIF5B,target
EIF6,target
ELANE,target
ELAVL1,target
ELAVL3,target
ELAVL4,target
ELK1,target
EMP2,target
ENDOG,target
ENG,target
ENO2,target
ENOX2,target
ENPEP,target
ENPP1,target
ENPP2,target
ENPP7,target
EP300,target
EPHA1,target
EPHA2,target
EPHA3,target
EPHA4,target
EPHA5,target
EPHA6,target
EPHA8,target
EPHB1,target
EPHB4,target
EPHB6,target
EPHX1,target
EPHX2,target
EPO,target
EPOR,target
ERAP1,target
ERBB2,target
ERBB3,target
ERBB4,target
ERCC1,target
ERG,target
ERN1,target
ERN2,target
ERRFI1,target
ESM1,target
ESR1,target
ESR2,target
ESRRA,target
ESRRB,target
ESRRG,target
ETF1,target
ETS1,target
EYA3,target
EZH1,target
EZH2,target
EZR,target
F11R,target
F12,target
F13A1,target
F2,target
F2R,target
F2RL1,target
F3,target
FAAH,target
FABP1,target
FABP2,target
FABP3,target
FABP4,target
FABP5,target
FABP6,target
FABP7,target
FAH,target
FANCD2,target
FAS,target
FASLG,target
FASN,target
FBLN1,target
FBLN2,target
FBP1,target
FBXO32,target
FBXW7,target
FCAMR,target
FCER1A,target
FCER2,target
FCGR1A,target
FDPS,target
FECH,target
FEN1,target
FFAR1,target
FFAR3,target
FFAR4,target
FGB,target
FGF1,target
FGF10,target
FGF19,target
FGF2,target
FGF21,target
FGF23,target
FGF7,target
FGFR1,target
FGFR2,target
FGFR4,target
FGR,target
FH,target
FKBP14,target
FKBP1A,target
FKBP4,target
FKBP5,target
FLG,target
FLT1,target
FLT3,target
FLT4,target
FN1,target
FNDC5,target
FOLH1,target
FOLR2,target
FOS,target
FOSB,target
FOSL1,target
FOSL2,target
FOXD3,target
FOXM1,target
FOXO1,target
FOXO3,target
FOXP3,target
FPR3,target
FRK,target
FSCN1,target
FSHB,target
FSHR,target
FTH1,target
FTO,target
FUCA1,target
FUNDC1,target
FURIN,target
FUS,target
FUT4,target
FUT5,target
FUT7,target
FUT9,target
FXN,target
FXR1,target
FXYD2,target
FYN,target
FZD1,target
FZD7,target
FZD8,target
G3BP1,target
G6PC1,target
G6PD,target
GAA,target
GABARAP,target
GABBR1,target
GABRA1,target
GABRA2,target
GABRA3,target
GABRA4,target
GABRA5,target
GABRB2,target
GABRB3,target
GABRG1,target
GABRG2,target
GABRR1,target
GABRR3,target
GAD1,target
GAD2,target
GADD45A,target
GADD45B,target
GAK,target
GALE,target
GALNT2,target
GAMT,target
GANAB,target
GAP43,target
GAPDH,target
GAST,target
GATA1,target
GATA2,target
GATA3,target
GBA1,target
GBA2,target
GBA3,target
GBF1,target
GC,target
GCG,target
GCK,target
GCLC,target
GCM1,target
GDA,target
GDE1,target
GDF15,target
GDF2,target
GDNF,target
GFAP,target
GFER,target
GGT1,target
GGT5,target
GH1,target
GHR,target
GHRL,target
GHSR,target
GJA1,target
GJB1,target
GJD4,target
GK,target
GLA,target
GLB1,target
GLI1,target
GLI2,target
GLIPR2,target
GLO1,target
GLP1R,target
GLRA1,target
GLRA2,target
GLS,target
GLUD1,target
GLUL,target
GMPPB,target
GNA12,target
GNAI1,target
GNB3,target
GNMT,target
GNRH1,target
GNRH2,target
GNRHR,target
GOT1,target
GP6,target
GPBAR1,target
GPCPD1,target
GPD1,target
GPD2,target
GPER1,target
GPI,target
GPR119,target
GPR137,target
GPR18,target
GPR183,target
